player_id,player,position,team,position_group
25554,Khadija Monifa Shaw,Center Forward,Manchester City WFC,Forward
15570,Chloe Kelly,Right Wing,Manchester City WFC,Forward
299860,Fuka Nagano,Center Defensive Midfield,Liverpool WFC,Midfielder
25632,Yui Hasegawa,Center Defensive Midfield,Manchester City WFC,Midfielder
22337,Maya Le Tissier,Right Center Back,Manchester United W,Defender
32403,Emma Wilhelmina Koivisto,Right Wing Back,Liverpool WFC,Defender
276301,Elisabeth Terland,Center Forward,Brighton & Hove Albion WFC,Forward
46974,Marie Therese Höbinger,Right Center Midfield,Liverpool WFC,Midfielder
15555,Lauren Hemp,Left Wing,Manchester City WFC,Forward
276304,Guro Bergsvand,Right Center Back,Brighton & Hove Albion WFC,Defender
92248,Khiara Keating,Goalkeeper,Manchester City WFC,Goalkeeper
5058,Rachel Daly,Center Forward,Aston Villa W,Forward
31538,Mary Alexandra Earps,Goalkeeper,Manchester United W,Goalkeeper
322359,Ceri Holland,Left Center Midfield,Liverpool WFC,Midfielder
31536,Millie Turner,Left Center Back,Manchester United W,Defender
10252,Alex Greenwood,Left Center Back,Manchester City WFC,Defender
63788,Victoria Pelova,Right Defensive Midfield,Arsenal WFC,Midfielder
15619,Bethany Mead,Right Wing,Arsenal WFC,Forward
32074,Jenna Clark,Right Center Back,Liverpool WFC,Defender
47521,Alessia Russo,Center Forward,Arsenal WFC,Forward
11338,Caitlin Jade Foord,Left Wing,Arsenal WFC,Forward
78072,Anna Patten,Right Center Back,Aston Villa W,Defender
221888,Kerstin Yasmijn Casparij,Right Back,Manchester City WFC,Defender
185545,Brooke Aspin,Right Center Back,Bristol City WFC,Defender
34232,Grace Fisk,Left Center Back,Liverpool WFC,Defender
15554,Gemma Bonner,Center Back,Liverpool WFC,Defender
21021,Molly Bartrip,Left Center Back,Tottenham Hotspur Women,Defender
15631,Niamh Charles,Left Back,Chelsea FCW,Defender
31555,Courtney Brosnan,Goalkeeper,Everton LFC,Goalkeeper
25785,Jayde Yuk Fun Riviere,Right Back,Manchester United W,Defender
15788,Amalie Grønbak Thestrup,Center Forward,Bristol City WFC,Forward
