match_id,player_id,player,team,period,minute,second,x,y,distance,inside_box,play_pattern,outcome,is_goal,shot_type,body_part,technique,first_time,under_pressure,xg
3913089,16382.0,Heather Payne,Everton LFC,1,1,8,107.9,54.8,19.1,Inside box,From Counter,Saved,0,Open Play,Right Foot,Normal,False,False,0.049121466
3913089,4961.0,Samantha May Kerr,Chelsea FCW,1,4,33,113.8,33.9,8.7,Inside box,From Corner,Wayward,0,Open Play,Head,Normal,False,True,0.059975848
3913089,47008.0,Sjoeke Nüsken,Chelsea FCW,1,6,18,109.8,47.5,12.7,Inside box,From Corner,Blocked,0,Open Play,Head,Normal,False,False,0.041418254
3913089,4961.0,Samantha May Kerr,Chelsea FCW,1,6,52,114.0,33.5,8.8,Inside box,From Corner,Off T,0,Open Play,Head,Normal,False,True,0.07729998
3913089,25612.0,Jessie Alexandra Fleming,Chelsea FCW,1,13,32,108.2,28.6,16.4,Inside box,From Goal Kick,Goal,1,Open Play,Right Foot,Volley,True,True,0.06213729
3913089,4660.0,Erin Cuthbert,Chelsea FCW,1,14,42,96.5,47.3,24.6,Outside box,From Counter,Saved,0,Open Play,Left Foot,Normal,False,False,0.034942638
3913089,45737.0,Martina Piemonte,Everton LFC,1,29,8,108.3,41.1,11.8,Inside box,From Corner,Wayward,0,Open Play,Head,Normal,False,False,0.03850914
3913089,63308.0,Justine Vanhaevermaet,Everton LFC,1,29,26,112.4,46.6,10.1,Inside box,From Corner,Saved,0,Open Play,Right Foot,Normal,True,False,0.11479692
3913089,45737.0,Martina Piemonte,Everton LFC,1,32,13,104.6,47.0,16.9,Inside box,From Throw In,Saved,0,Open Play,Left Foot,Normal,True,True,0.31791255
3913089,16382.0,Heather Payne,Everton LFC,1,35,13,107.2,41.7,12.9,Inside box,Regular Play,Blocked,0,Open Play,Left Foot,Normal,False,False,0.09191459
3913089,62710.0,Johanna Rytting-Kaneryd,Chelsea FCW,1,38,59,102.4,38.2,17.7,Inside box,Regular Play,Off T,0,Open Play,Left Foot,Normal,True,False,0.11544067
3913089,62710.0,Johanna Rytting-Kaneryd,Chelsea FCW,1,40,46,109.0,53.7,17.6,Inside box,Regular Play,Off T,0,Open Play,Right Foot,Normal,False,False,0.09033407
3913089,15631.0,Niamh Charles,Chelsea FCW,1,42,45,102.4,39.7,17.6,Inside box,From Free Kick,Saved,0,Open Play,Head,Normal,False,True,0.030719573
3913089,32229.0,Sara Holmgaard,Everton LFC,1,43,22,107.4,41.1,12.6,Inside box,From Keeper,Saved,0,Open Play,Left Foot,Normal,False,False,0.20796505
3913089,18254.0,Megan Finnigan,Everton LFC,1,47,21,110.9,43.1,9.6,Inside box,From Corner,Wayward,0,Open Play,Head,Normal,False,False,0.05405298
3913089,4961.0,Samantha May Kerr,Chelsea FCW,2,48,36,103.9,42.3,16.3,Inside box,Regular Play,Blocked,0,Open Play,Right Foot,Normal,False,False,0.09655434
3913089,4660.0,Erin Cuthbert,Chelsea FCW,2,48,40,100.7,47.6,20.7,Outside box,Regular Play,Post,0,Open Play,Right Foot,Normal,False,True,0.063865766
3913089,63308.0,Justine Vanhaevermaet,Everton LFC,2,53,34,103.0,44.3,17.5,Inside box,From Free Kick,Off T,0,Open Play,Right Foot,Half Volley,True,False,0.0684685
