match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,competition_country_name,competition_name,competition,season_id,season,home_team_id,home_team,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,away_team_id,away_team,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,competition_stage_id,competition_stage,stadium_id,stadium,stadium_country_id,stadium_country_name,referee_id,referee,referee_country_id,referee_country_name,home_managers,away_managers,home_manager_id,home_manager_name,home_manager_nickname,home_manager_dob,home_manager_country_id,home_manager_country_name,away_manager_id,away_manager_name,away_manager_nickname,away_manager_dob,away_manager_country_id,away_manager_country_name,data_version,shot_fidelity_version,xy_fidelity_version
3913082,2023-11-05,18:45:00.000,2,2,available,unscheduled,2026-04-11T13:03:17.779673,,5,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,965,Brighton & Hove Albion WFC,female,,68,England,1475,Manchester United W,female,,68,England,1,Regular Season,4494,Broadfield Stadium,68,England,926.0,Elizabeth Simms,68.0,England,Melissa Phillips,Marc Skinner,1002160,Melissa Phillips,,,68,England,128,Marc Skinner,,1983-03-23,68,England,1.1.0,2,2
3913155,2024-03-23,12:30:00.000,3,1,available,unscheduled,2026-04-11T13:01:12.427016,,17,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,746,Manchester City WFC,female,,68,England,1475,Manchester United W,female,,68,England,1,Regular Season,4715,Etihad Stadium,68,England,937.0,Abigail Byrne,68.0,England,Gareth Taylor,Marc Skinner,5115,Gareth Taylor,,1973-02-25,249,Wales,128,Marc Skinner,,1983-03-23,68,England,1.1.0,2,2
3913167,2024-04-21,11:00:00.000,2,2,available,unscheduled,2026-04-10T15:02:10.119805,,19,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,1475,Manchester United W,female,,68,England,749,Tottenham Hotspur Women,female,,68,England,1,Regular Season,4979,Leigh Sports Village Stadium,68,England,566.0,Rebecca Welch,68.0,England,Marc Skinner,Robert Vilahamn,128,Marc Skinner,,1983-03-23,68,England,1000768,Robert Vilahamn,,1983-01-02,220,Sweden,1.1.0,2,2
3913175,2024-04-28,13:00:00.000,1,1,available,unscheduled,2026-04-07T09:17:31.343400,,20,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,2647,Aston Villa W,female,,68,England,972,West Ham United LFC,female,,68,England,1,Regular Season,211,Villa Park,68,England,1711.0,Emily Heaslip,68.0,England,Carla Ward,Rehanne Skinner,3978,Carla Ward,,1982-12-21,68,England,5389,Rehanne Skinner,,1979-11-13,68,England,1.1.0,2,2
3913107,2023-12-09,12:00:00.000,2,1,available,unscheduled,2026-04-07T09:17:06.305626,,9,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,746,Manchester City WFC,female,,68,England,2647,Aston Villa W,female,,68,England,1,Regular Season,99,Joie Stadium,68,England,937.0,Abigail Byrne,68.0,England,Gareth Taylor,Carla Ward,5115,Gareth Taylor,,1973-02-25,249,Wales,3978,Carla Ward,,1982-12-21,68,England,1.1.0,2,2
3913165,2024-04-17,18:00:00.000,3,0,available,unscheduled,2026-04-07T09:16:42.221516,,19,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,971,Chelsea FCW,female,,68,England,2647,Aston Villa W,female,,68,England,1,Regular Season,132,Kingsmeadow,68,England,1004975.0,Melissa Burgin,68.0,England,Emma Hayes,Carla Ward,152,Emma Hayes,,1976-10-18,68,England,3978,Carla Ward,,1982-12-21,68,England,1.1.0,2,2
3913115,2023-12-17,18:45:00.000,1,0,available,unscheduled,2026-04-07T09:21:38.794863,,10,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,2647,Aston Villa W,female,,68,England,965,Brighton & Hove Albion WFC,female,,68,England,1,Regular Season,1001075,Poundland Bescot Stadium,68,England,1711.0,Emily Heaslip,68.0,England,Carla Ward,Melissa Phillips,3978,Carla Ward,,1982-12-21,68,England,1002160,Melissa Phillips,,,68,England,1.1.0,2,2
3913147,2024-03-16,13:00:00.000,1,2,available,unscheduled,2026-04-07T09:24:28.760809,,16,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,967,Everton LFC,female,,68,England,2647,Aston Villa W,female,,68,England,1,Regular Season,4989,Walton Hall Park,68,England,1007190.0,Phoebe Cross,68.0,England,Brian Sørensen,Carla Ward,1002151,Brian Sørensen,,1980-06-15,61,Denmark,3978,Carla Ward,,1982-12-21,68,England,1.1.0,2,2
3913129,2024-02-03,12:30:00.000,2,2,available,unscheduled,2026-04-07T09:21:10.710852,,13,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,2647,Aston Villa W,female,,68,England,973,Bristol City WFC,female,,68,England,1,Regular Season,1001075,Poundland Bescot Stadium,68,England,893.0,Stacey Pearson,68.0,England,Carla Ward,Lauren Smith,3978,Carla Ward,,1982-12-21,68,England,1000983,Lauren Smith,,,249,Wales,1.1.0,2,2
3912603,2023-10-08,17:45:00.000,2,0,available,unscheduled,2026-04-07T09:07:42.899831,,2,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,966,Liverpool WFC,female,,68,England,2647,Aston Villa W,female,,68,England,1,Regular Season,579,Prenton Park,68,England,1004975.0,Melissa Burgin,68.0,England,Matt Beard,Carla Ward,139,Matt Beard,,1978-01-09,68,England,3978,Carla Ward,,1982-12-21,68,England,1.1.0,2,2
3913134,2024-02-04,18:45:00.000,3,0,available,unscheduled,2025-11-21T05:11:31.248259,,13,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,971,Chelsea FCW,female,,68,England,967,Everton LFC,female,,68,England,1,Regular Season,10,Stamford Bridge,68,England,1711.0,Emily Heaslip,68.0,England,Emma Hayes,Brian Sørensen,152,Emma Hayes,,1976-10-18,68,England,1002151,Brian Sørensen,,1980-06-15,61,Denmark,1.1.0,2,2
3913069,2023-10-14,19:30:00.000,2,0,available,unscheduled,2024-09-29T03:35:40.096334,,3,37,England,FA Women's Super League,England - FA Women's Super League,281,2023/2024,971,Chelsea FCW,female,,68,England,972,West Ham United LFC,female,,68,England,1,Regular Season,132,Kingsmeadow,68,England,893.0,Stacey Pearson,68.0,England,Emma Hayes,Rehanne Skinner,152,Emma Hayes,,1976-10-18,68,England,5389,Rehanne Skinner,,1979-11-13,68,England,1.1.0,2,2
